City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
461,Bacolod,PH,75.94,overcast clouds,10.6667,122.95,Planta Hotel & Residences
475,Alyangula,AU,81.36,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
479,Hambantota,LK,75.99,overcast clouds,6.1241,81.1185,Bungalow 63
481,Tirumullaivasal,IN,75.92,few clouds,11.2333,79.8333,Almupaark complex
484,Puerto Madero,MX,88.0,few clouds,14.7208,-92.4215,Hospedaje madero
491,Petatlan,MX,89.4,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
494,Padang,ID,76.5,overcast clouds,-0.9492,100.3543,Mercure Padang
496,Santa Cruz,BO,85.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
499,Mitsamiouli,KM,80.83,clear sky,-11.3847,43.2844,Foyer ADM
500,Malakal,SS,84.25,clear sky,9.5334,31.6605,Nile Palace Hotel
509,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
510,Springbok,ZA,78.4,clear sky,-29.6643,17.8865,Undulata Country Lodge
511,Grand-Lahou,CI,78.51,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
512,Aflao,TG,84.33,few clouds,6.116,1.1914,Hotel LeBenin
513,Abomey-Calavi,BJ,84.06,few clouds,6.4485,2.3557,Miras Hôtel
514,Cap Malheureux,MU,81.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
515,Batticaloa,LK,77.49,overcast clouds,7.7102,81.6924,Grand Star Guest House
518,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
529,Altamira,BR,84.29,few clouds,-3.2033,-52.2064,Requinte Hotel
535,Itaituba,BR,87.96,few clouds,-4.2761,-55.9836,Hotel Campos
538,Biak,ID,75.24,overcast clouds,-0.9131,122.8766,Penginapan Kim
546,San Quintin,MX,76.03,clear sky,30.4833,-115.95,Don Eddie's Landing
550,Nanga Eboko,CM,75.72,overcast clouds,4.6833,12.3667,Motel Papi Palace
551,Acapulco,MX,87.62,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
557,Varadero,CU,77.76,overcast clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
559,Voh,NC,78.04,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
569,Huarmey,PE,77.31,clear sky,-10.0681,-78.1522,Hotel Miramar
573,Sokoto,NG,79.21,broken clouds,13.0609,5.239,Giginya Coral Hotel
578,Hobyo,SO,77.16,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
580,Takoradi,GH,79.52,light rain,4.8845,-1.7554,Raybow International Hotel
581,Caravelas,BR,79.74,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
582,Kokopo,PG,76.59,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
593,Karratha,AU,84.02,broken clouds,-20.7377,116.8463,ibis Styles Karratha
601,Namibe,AO,75.52,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
602,Buenos Aires,AR,81.79,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
603,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
605,Muisne,EC,82.51,light rain,0.6,-80.0333,Quinta Samay
608,Ternate,ID,79.57,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
609,Camopi,GF,77.95,overcast clouds,3.1655,-52.3158,La pousada
610,Ovalle,CL,80.53,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
613,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
616,Sulangan,PH,79.11,overcast clouds,11.1373,123.7228,Maia's Beach Resort
617,Namatanai,PG,78.69,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
618,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
620,Bull Savanna,JM,82.29,clear sky,17.8868,-77.5902,Big Red's
626,Pitimbu,BR,84.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
627,Anloga,GH,84.42,light rain,5.7947,0.8973,Pin Drop Hotel
633,Camacari,BR,83.97,moderate rain,-12.6975,-38.3242,Hotel Cambuci
643,Soure,BR,77.58,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
644,Fare,PF,80.78,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
645,Vao,NC,79.57,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
648,San Policarpo,PH,78.64,overcast clouds,12.1791,125.5072,Agapita M. Nicart
659,Bubaque,GW,78.37,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
660,Howard Springs,AU,76.91,broken clouds,-12.497,131.047,buffalo beach hostel
663,San Clemente,US,89.11,clear sky,33.427,-117.612,Casablanca Inn
664,Sao Joao Da Barra,BR,80.69,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
665,Vaitape,PF,80.82,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
669,Porto Nacional,BR,86.0,scattered clouds,-10.7081,-48.4172,Vila Real Hotel
670,Mubi,NG,78.24,few clouds,10.2676,13.2644,Hotel
675,Pedasi,PA,83.44,broken clouds,7.5333,-80.0333,Selina Pedasi
680,Alto Araguaia,BR,80.62,overcast clouds,-17.3147,-53.2153,Araguaia Palace Hotel
681,Amahai,ID,76.15,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
685,Santa Catalina,PH,76.62,overcast clouds,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
688,Point Fortin,TT,85.93,broken clouds,10.1833,-61.6833,Jus Les' Suites
692,Rawson,AR,89.74,clear sky,-43.3002,-65.1023,Hosteria Sampedro
693,Xuddur,SO,77.52,overcast clouds,4.1213,43.8894,Banjanay Hotel
694,Grand-Santi,GF,81.1,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
697,Tartagal,AR,79.75,broken clouds,-22.5164,-63.8013,Almuñecar Hotel
701,Maningrida,AU,76.21,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
706,Tevaitoa,PF,80.74,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
707,Irituia,BR,76.08,overcast clouds,-1.7711,-47.4381,Hotel Irituia
