City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,Mattru,7.6244,-11.8332,81.75,62,48,8.66,SL,2022-02-12 19:09:02
214,Boysun,38.2061,67.1986,39.27,82,100,3.02,UZ,2022-02-12 19:09:03
215,Tasiilaq,65.6145,-37.6368,10.56,65,100,3.67,GL,2022-02-12 19:09:03
216,Makakilo City,21.3469,-158.0858,75.52,70,0,6.91,US,2022-02-12 19:09:04
217,San Patricio,28.017,-97.5169,69.75,70,100,24.61,US,2022-02-12 19:09:04
218,Biak,-0.9131,122.8766,74.71,90,100,2.51,ID,2022-02-12 19:09:05
219,Richards Bay,-28.783,32.0377,74.16,86,0,8.72,ZA,2022-02-12 19:09:05
220,Deputatskiy,69.3,139.9,-11.04,93,100,6.24,RU,2022-02-12 19:09:06
221,Olga,43.7444,135.2892,13.35,59,13,16.22,RU,2022-02-12 19:09:06
222,Bowen,-20.0167,148.2333,75.63,77,1,12.26,AU,2022-02-12 19:09:07
223,Khatanga,71.9667,102.5,-17.68,89,29,5.61,RU,2022-02-12 19:09:08
224,Clyde River,70.4692,-68.5914,-14.82,90,100,23.73,CA,2022-02-12 19:09:08
225,Iqaluit,63.7506,-68.5145,-33.9,94,93,3.51,CA,2022-02-12 19:10:08
226,Kushiro,42.975,144.3747,19.53,89,100,4.14,JP,2022-02-12 19:10:09
227,Panjab,34.388,67.0233,10.22,81,41,3.56,AF,2022-02-12 19:10:09
228,Maniitsoq,65.4167,-52.9,12.65,76,100,14.65,GL,2022-02-12 19:10:10
229,Olinda,-8.0089,-34.8553,85.73,70,20,8.05,BR,2022-02-12 19:10:10
230,Esperance,-33.8667,121.9,63.95,63,100,10.6,AU,2022-02-12 19:10:11
231,Torrijos,39.9819,-4.2835,58.84,63,77,5.19,ES,2022-02-12 19:10:12
232,Bilma,18.6853,12.9164,67.41,15,0,7.65,NE,2022-02-12 19:10:12
233,Sola,-13.8833,167.55,80.13,72,97,4.92,VU,2022-02-12 19:10:13
234,Goderich,43.7501,-81.7165,16.92,82,100,15.48,CA,2022-02-12 19:10:13
235,Narsaq,60.9167,-46.05,30.42,98,100,2.1,GL,2022-02-12 19:10:14
236,Arlit,18.7369,7.3853,72.73,11,0,6.91,NE,2022-02-12 19:10:14
