City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
361,Bettendorf,41.5245,-90.5157,17.64,63,75,12.66,US,2022-02-13 20:18:54,broken clouds
362,Ostrovnoy,68.0531,39.5131,15.66,66,100,17.31,RU,2022-02-13 20:19:55,overcast clouds
363,Sechelt,49.4664,-123.7694,56.88,69,55,6.53,CA,2022-02-13 20:19:55,broken clouds
364,Tshane,-24.0196,21.8684,80.38,31,56,6.49,BW,2022-02-13 20:19:56,broken clouds
365,Henties Bay,-22.116,14.2845,73.85,84,36,5.61,NA,2022-02-13 20:19:56,moderate rain
366,Koumac,-20.5667,164.2833,79.18,82,99,5.48,NC,2022-02-13 20:19:37,overcast clouds
367,Konevo,62.1215,39.3192,22.28,95,100,8.57,RU,2022-02-13 20:19:57,light snow
368,Ahipara,-35.1667,173.1667,64.69,68,78,9.46,NZ,2022-02-13 20:16:52,broken clouds
369,Myaundzha,63.0494,147.1858,-38.56,98,35,3.15,RU,2022-02-13 20:19:58,scattered clouds
370,Rundu,-17.9333,19.7667,68.47,82,41,5.39,NA,2022-02-13 20:19:58,light rain
371,Hovd,48.0056,91.6419,-13.27,81,15,3.09,MN,2022-02-13 20:19:59,few clouds
372,Yarmouth,41.7057,-70.2286,35.71,91,100,13.8,US,2022-02-13 20:19:59,mist
373,Morondava,-20.2833,44.2833,80.22,84,83,2.42,MG,2022-02-13 20:19:59,light rain
374,Emba,48.8264,58.1442,11.28,98,54,8.84,KZ,2022-02-13 20:20:00,broken clouds
375,Honiara,-9.4333,159.95,78.57,85,90,4.61,SB,2022-02-13 20:15:14,overcast clouds
376,Timra,62.487,17.3257,31.68,100,12,2.3,SE,2022-02-13 20:20:01,few clouds
377,Palembang,-2.9167,104.7458,78.89,89,40,2.3,ID,2022-02-13 20:20:02,light rain
378,Victor Harbor,-35.5667,138.6167,69.89,86,32,7.81,AU,2022-02-13 20:20:02,scattered clouds
379,Pisco,-13.7,-76.2167,78.85,53,0,16.11,PE,2022-02-13 20:20:03,clear sky
380,Dunedin,-45.8742,170.5036,54.81,75,5,3.36,NZ,2022-02-13 20:15:30,clear sky
381,Itabera,-23.8619,-49.1372,82.42,48,5,3.42,BR,2022-02-13 20:20:03,clear sky
382,Clyde River,70.4692,-68.5914,-23.57,69,75,16.11,CA,2022-02-13 20:20:04,broken clouds
383,Isoka,-10.1606,32.6335,60.48,96,97,2.98,ZM,2022-02-13 20:20:04,overcast clouds
384,Laukaa,58.7372,29.8453,31.19,82,100,12.24,RU,2022-02-13 20:20:05,snow
385,Dondo,-19.6094,34.7431,80.11,84,9,5.01,MZ,2022-02-13 20:20:06,clear sky
386,Port Blair,11.6667,92.75,73.44,78,20,2.3,IN,2022-02-13 20:20:06,mist
387,Kroya,-7.6331,109.2461,76.1,89,100,4.85,ID,2022-02-13 20:20:07,moderate rain
388,Bundaberg,-24.85,152.35,68.29,93,4,6.91,AU,2022-02-13 20:20:07,clear sky
389,Saint George,37.1041,-113.5841,70.54,17,0,1.99,US,2022-02-13 20:19:38,clear sky
390,Yumen,40.2833,97.2,27.16,42,100,12.41,CN,2022-02-13 20:20:08,overcast clouds
391,Beyneu,45.3167,55.2,31.14,74,100,20.96,KZ,2022-02-13 20:20:08,overcast clouds
392,Sabang,5.8933,95.3214,81.61,74,49,8.75,ID,2022-02-13 20:17:08,scattered clouds
393,Viedma,-40.8135,-62.9967,92.39,13,0,7.9,AR,2022-02-13 20:20:09,clear sky
394,Berdigestyakh,62.0989,126.6992,-28.59,100,100,1.59,RU,2022-02-13 20:20:09,overcast clouds
395,Markova,48.6758,24.4138,23.47,78,2,6.17,UA,2022-02-13 20:20:10,clear sky
396,Dzilam Gonzalez,21.2833,-88.9333,75.06,65,84,11.27,MX,2022-02-13 20:20:10,broken clouds
397,Noyabrsk,63.1994,75.4507,-11.96,99,100,9.51,RU,2022-02-13 20:20:11,overcast clouds
398,Marsh Harbour,26.5412,-77.0636,75.51,80,100,19.28,BS,2022-02-13 20:20:11,heavy intensity rain
399,Fairbanks,64.8378,-147.7164,14.81,81,100,0.0,US,2022-02-13 20:20:02,light snow
400,Hengshan,45.2,130.9167,-11.74,99,50,3.69,CN,2022-02-13 20:20:12,scattered clouds
401,Chapais,49.7834,-74.8492,-6.02,78,100,2.77,CA,2022-02-13 20:20:13,overcast clouds
402,Ishinomaki,38.4167,141.3,32.85,72,100,9.8,JP,2022-02-13 20:20:13,overcast clouds
403,Narragansett,41.4501,-71.4495,31.57,80,100,8.05,US,2022-02-13 20:20:14,light shower snow
